time     	order	
252228,054	MCS<LF>
252238,216	0<CRLF>
252240,103	IHD0<LF>
252241,848	0<CRLF>
252241,919	ICR6317<LF>
252243,697	0<CRLF>
252243,748	MCS?0<LF>
252245,401	1,2,3,4,5<CRLF>
252245,466	PCS1<LF>
252247,103	0<CRLF>
252247,152	MSS215;MRG0<LF>
252255,113	0<CRLF>
252255,150	0<CRLF>
252255,213	PCS2<LF>
252257,735	0<CRLF>
252257,833	MSS215;MRG0<LF>
252259,960	0<CRLF>
252259,979	0<CRLF>
252260,034	PCS3<LF>
252261,845	0<CRLF>
252261,897	SPS1;MSS215;MRG0<LF>
252263,798	0<CRLF>
252263,814	0<CRLF>
252263,828	0<CRLF>
252263,875	SPS2;MSS215;MRG0<LF>
252265,681	0<CRLF>
252265,698	0<CRLF>
252265,712	0<CRLF>
252265,759	SPS3;MSS215;MRG0<LF>
252267,576	0<CRLF>
252267,592	0<CRLF>
252267,606	0<CRLF>
252267,652	SPS4;MSS215;MRG0<LF>
252269,849	0<CRLF>
252269,933	0<CRLF>
252269,950	0<CRLF>
252270,079	SPS5;MSS215;MRG0<LF>
252272,465	0<CRLF>
252272,482	0<CRLF>
252272,496	0<CRLF>
252272,552	SPS6;MSS215;MRG0<LF>
252274,373	0<CRLF>
252274,390	0<CRLF>
252274,404	0<CRLF>
252274,451	SPS7;MSS215;MRG0<LF>
252276,304	0<CRLF>
252283,218	0<CRLF>
252283,270	0<CRLF>
252283,396	SPS8;MSS215;MRG0<LF>
252288,263	0<CRLF>
252288,299	0<CRLF>
252288,325	0<CRLF>
252288,508	SMS1,2,3,4,5,6,7,8<LF>
252291,739	0<CRLF>
252291,852	PCS4<LF>
252294,916	0<CRLF>
252295,010	SPS1;MSS215;MRG0<LF>
252298,408	0<CRLF>
252298,439	0<CRLF>
252298,465	0<CRLF>
252298,565	SPS2;MSS215;MRG0<LF>
252301,886	0<CRLF>
252301,918	0<CRLF>
252301,943	0<CRLF>
252302,046	SPS3;MSS215;MRG0<LF>
252305,914	0<CRLF>
252305,947	0<CRLF>
252305,973	0<CRLF>
252306,084	SPS4;MSS215;MRG0<LF>
252309,612	0<CRLF>
252309,657	0<CRLF>
252309,684	0<CRLF>
252309,797	SPS5;MSS215;MRG0<LF>
252312,886	0<CRLF>
252312,910	0<CRLF>
252312,930	0<CRLF>
252313,001	SPS6;MSS215;MRG0<LF>
252315,741	0<CRLF>
252315,766	0<CRLF>
252315,786	0<CRLF>
252315,858	SPS7;MSS215;MRG0<LF>
252318,153	0<CRLF>
252318,173	0<CRLF>
252318,189	0<CRLF>
252318,245	SPS8;MSS215;MRG0<LF>
252321,339	0<CRLF>
252321,361	0<CRLF>
252321,377	0<CRLF>
252321,446	SMS1,2,3,4,5,6,7,8<LF>
252323,414	0<CRLF>
252323,484	PCS5<LF>
252325,294	0<CRLF>
252325,359	SPS1;MSS215;MRG0<LF>
252327,268	0<CRLF>
252327,507	0<CRLF>
252328,289	0<CRLF>
252328,400	SPS2;MSS215;MRG0<LF>
252336,185	0<CRLF>
252339,655	0<CRLF>
252339,715	0<CRLF>
252340,015	SPS3;MSS215;MRG0<LF>
252343,855	0<CRLF>
252343,888	0<CRLF>
252343,914	0<CRLF>
252344,010	SPS4;MSS215;MRG0<LF>
252347,376	0<CRLF>
252347,407	0<CRLF>
252347,498	0<CRLF>
252347,589	SPS5;MSS215;MRG0<LF>
252350,534	0<CRLF>
252350,558	0<CRLF>
252350,578	0<CRLF>
252350,648	SPS6;MSS215;MRG0<LF>
252354,047	0<CRLF>
252354,507	0<CRLF>
252354,598	0<CRLF>
252354,690	SPS7;MSS215;MRG0<LF>
252357,461	0<CRLF>
252357,487	0<CRLF>
252357,506	0<CRLF>
252357,608	SPS8;MSS215;MRG0<LF>
252359,850	0<CRLF>
252359,874	0<CRLF>
252359,894	0<CRLF>
252359,957	SMS1,2,3,4,5,6,7,8<LF>
252362,353	0<CRLF>
252362,423	MBF1257;MCS1,2,3,4,5<LF>
252364,816	0<CRLF>
252364,840	0<CRLF>
252364,904	TRR;TRD6500,0;TOM6713<LF>
252367,343	0<CRLF>
252367,715	0<CRLF>
252368,422	0<CRLF>
252368,565	TSV 1,1,1<LF>
252371,994	0<CRLF>
252399,031	RMB?1,6408<LF>
